"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","192","Оглавление страницы информации о пользователе","tests.ui_tests","Sun Mar 29 19:37:42 UTC 2026","passed","Sun Mar 29 19:37:43 UTC 2026","TestProfileInfo","test_profile","",""
"","133","Конвертация EUR в RUB","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestRate","test_calculate_rate","",""
"","481","Создание категории","tests.api_tests","Sun Mar 29 19:37:29 UTC 2026","passed","Sun Mar 29 19:37:29 UTC 2026","TestCategories","test_categories_api","",""
"","25","Редактирование категории","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestCategories","test_categories_api","",""
"","1805","Авторизация пользователя в системе","tests.ui_tests","Sun Mar 29 19:37:36 UTC 2026","passed","Sun Mar 29 19:37:38 UTC 2026","TestAuthPage","test_auth","",""
"","1117","Регистрация нового пользователя в системе","tests.ui_tests","Sun Mar 29 19:37:33 UTC 2026","passed","Sun Mar 29 19:37:34 UTC 2026","TestAuthPage","test_auth","",""
"","6","Конвертация валют","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestRate","test_calculate_rate","",""
"","12","Удаление категории и проверка в БД","tests.ui_tests","Sun Mar 29 19:37:43 UTC 2026","passed","Sun Mar 29 19:37:43 UTC 2026","TestCategories","test_profile","",""
"","692","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","tests.kafka_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:32 UTC 2026","TestKafka","Паблишинг сообщений в кафку","",""
"","535","Регистрация пользователя с невалидным именем","tests.ui_tests","Sun Mar 29 19:37:41 UTC 2026","passed","Sun Mar 29 19:37:41 UTC 2026","TestAuthPage","test_auth","",""
"","9","Получение всех доступных валют","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","","test_get_all_currencies","",""
"","145","KAFKA: Проверка создания пользователя, после публикации сообщения регистрации","tests.kafka_tests","Sun Mar 29 19:37:32 UTC 2026","passed","Sun Mar 29 19:37:32 UTC 2026","TestKafka","Паблишинг сообщений в кафку","",""
"","64","Удаление траты","tests.api_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestSpending","test_spendings_api","",""
"","49","Редактирование категории","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestCategories","test_categories_api","",""
"","7","Конвертация валют","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestRate","test_calculate_rate","",""
"","61","Добавление новой траты, проверка в бд","tests.ui_tests","Sun Mar 29 19:37:41 UTC 2026","passed","Sun Mar 29 19:37:41 UTC 2026","TestSpendPage","test_spending","",""
"","261","Создание новой категории с пустым названием","tests.ui_tests","Sun Mar 29 19:37:43 UTC 2026","passed","Sun Mar 29 19:37:43 UTC 2026","TestCategories","test_profile","",""
"","1491","Изменение валюты в трате","tests.ui_tests","Sun Mar 29 19:37:39 UTC 2026","passed","Sun Mar 29 19:37:40 UTC 2026","TestSpendPage","test_spending","",""
"","587","Авторизация с невалидным логином и паролем","tests.ui_tests","Sun Mar 29 19:37:39 UTC 2026","passed","Sun Mar 29 19:37:39 UTC 2026","TestAuthPage","test_auth","",""
"","235","Оглавление страницы с тратами","tests.ui_tests","Sun Mar 29 19:37:43 UTC 2026","passed","Sun Mar 29 19:37:43 UTC 2026","TestSpendPage","test_spending","",""
"","274","Создание новой категории","tests.ui_tests","Sun Mar 29 19:37:42 UTC 2026","passed","Sun Mar 29 19:37:42 UTC 2026","TestCategories","test_profile","",""
"","30","SOAP: Получение информации о пользователе","tests.soap_tests","Sun Mar 29 19:37:32 UTC 2026","passed","Sun Mar 29 19:37:32 UTC 2026","TestSoap","test_soap","",""
"","867","Удаление всех трат","tests.ui_tests","Sun Mar 29 19:37:37 UTC 2026","passed","Sun Mar 29 19:37:38 UTC 2026","TestSpendPage","test_spending","",""
"","28","Создание Траты","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestSpending","test_spendings_api","",""
"","312","Создание новой категории с существующим названием","tests.ui_tests","Sun Mar 29 19:37:42 UTC 2026","passed","Sun Mar 29 19:37:42 UTC 2026","TestCategories","test_profile","",""
"","1711","Удаление траты","tests.ui_tests","Sun Mar 29 19:37:34 UTC 2026","passed","Sun Mar 29 19:37:36 UTC 2026","TestSpendPage","test_spending","",""
"","5","Конвертация валют","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestRate","test_calculate_rate","",""
"","109","Создание Траты","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestSpending","test_spendings_api","",""
"","659","Заведение новой траты","tests.ui_tests","Sun Mar 29 19:37:33 UTC 2026","passed","Sun Mar 29 19:37:34 UTC 2026","TestSpendPage","test_spending","",""
"","1","Добавление категории и проверка в БД","tests.ui_tests","Sun Mar 29 19:37:45 UTC 2026","passed","Sun Mar 29 19:37:45 UTC 2026","TestCategories","test_profile","",""
"","497","Регистрация пользователя с невалидным паролем","tests.ui_tests","Sun Mar 29 19:37:39 UTC 2026","passed","Sun Mar 29 19:37:40 UTC 2026","TestAuthPage","test_auth","",""
"","59","Редактирование траты","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestSpending","test_spendings_api","",""
"","34","Создание Траты","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestSpending","test_spendings_api","",""
"","32","Получение траты","tests.api_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestSpending","test_spendings_api","",""
"","846","Удаление имени пользователя","tests.ui_tests","Sun Mar 29 19:37:44 UTC 2026","passed","Sun Mar 29 19:37:45 UTC 2026","TestProfileInfo","test_profile","",""
"","38","Создание Траты","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestSpending","test_spendings_api","",""
"","44","Создание траты  без описания","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestSpending","test_spendings_api","",""
"","48","Получить все категории","tests.api_tests","Sun Mar 29 19:37:30 UTC 2026","passed","Sun Mar 29 19:37:30 UTC 2026","TestCategories","test_categories_api","",""
"","490","Переход на страницу регистрации","tests.ui_tests","Sun Mar 29 19:37:38 UTC 2026","passed","Sun Mar 29 19:37:38 UTC 2026","TestAuthPage","test_auth","",""
"","9","Конвертация без указания валюты","tests.grpc_tests","Sun Mar 29 19:37:31 UTC 2026","passed","Sun Mar 29 19:37:31 UTC 2026","TestRate","test_calculate_rate","",""
"","876","Добавление имени пользователя","tests.ui_tests","Sun Mar 29 19:37:43 UTC 2026","passed","Sun Mar 29 19:37:44 UTC 2026","TestProfileInfo","test_profile","",""
"","897","Регистрация существующего пользователя в системе","tests.ui_tests","Sun Mar 29 19:37:34 UTC 2026","passed","Sun Mar 29 19:37:35 UTC 2026","TestAuthPage","test_auth","",""
